day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
09,06,59,11.974,25,1.57,1.38,1.15,1.31,063,1225
09,06,59,58.907,25,-5.76,-5.65,-5.25,3.57,066,4076
09,07,01,56.508,21,-6.04,-5.09,-3.86,2.39,070,4501
09,07,03,54.972,12,6.94,7.31,7.62,2.95,075,5469
09,07,11,00.509,40,1.96,2.06,2.06,1.00,062,1376
09,07,19,24.309,73,-1.45,-1.43,-1.39,0.86,073,2522
09,07,19,26.799,16,-0.86,-1.14,-1.32,0.93,070,2043
09,07,19,32.910,22,5.53,6.64,7.06,2.63,074,5455
09,07,20,56.776,20,-5.30,-6.48,-7.15,4.85,068,4733
09,07,23,27.186,22,-6.60,-7.11,-7.10,3.15,067,4996
09,07,24,07.777,15,-8.00,-8.53,-8.96,3.61,067,4603
09,07,29,33.514,23,-5.74,-6.83,-7.38,2.65,068,5153
09,07,30,17.645,26,-5.29,-5.66,-5.62,2.80,067,4420
09,07,30,43.777,62,-1.38,-1.46,-1.49,0.84,072,3253
09,07,30,45.817,19,-1.03,-1.69,-2.35,2.85,068,2276
09,07,31,07.577,20,5.88,7.36,8.04,2.83,074,6393
09,07,38,42.849,22,-6.43,-6.62,-6.48,3.15,067,4402
09,07,41,07.579,22,-6.33,-6.81,-6.87,2.64,070,5210
09,07,47,57.848,20,-5.33,-6.71,-7.39,4.26,068,4090
09,07,51,03.522,17,6.18,7.92,8.63,2.26,074,5508
09,07,59,20.787,18,7.00,7.60,7.69,2.36,073,5476
09,08,02,42.718,22,-6.25,-7.03,-7.21,3.06,069,5060
09,08,09,56.320,11,1.45,1.50,1.33,1.43,063,1344
09,08,09,56.725,8,0.19,1.44,2.06,3.18,063,1437
09,08,09,57.453,11,0.73,1.24,1.47,1.48,063,1415
09,08,09,57.689,14,1.02,1.35,1.48,1.35,064,1486
09,08,18,16.207,15,1.92,1.66,1.48,1.18,062,1212
09,08,23,20.203,19,-7.58,-7.75,-7.47,3.88,068,4911
09,08,25,19.594,10,-6.30,-2.56,-0.07,11.52,061,1671
09,08,25,25.992,12,1.88,1.44,0.75,1.31,063,2022
09,08,25,28.589,10,1.80,1.36,1.10,1.89,063,1292
09,08,27,40.208,21,-7.16,-7.25,-6.96,3.00,069,4529
09,08,28,14.929,22,-1.62,-1.62,-1.72,1.58,072,1791
09,08,28,15.390,14,-0.70,-1.59,-2.02,1.94,072,1743
09,08,28,15.960,14,-0.64,-1.67,-2.21,2.06,070,1728
09,08,32,21.859,18,-8.33,-8.28,-7.86,2.93,069,4894
09,08,34,02.660,21,-6.71,-6.37,-5.88,4.84,067,3609
09,08,34,28.529,18,-5.69,-6.19,-6.33,3.70,069,3886
09,08,36,25.859,19,-5.34,-6.21,-6.50,4.25,069,4109
09,08,37,56.791,27,-1.22,-1.12,-0.99,0.97,073,2125
09,08,37,58.859,9,-1.89,-1.36,-0.44,1.45,073,3066
09,08,38,02.391,8,-3.56,-1.25,-0.09,5.37,071,1586
09,08,38,09.460,14,-6.75,-8.14,-8.66,2.90,070,3973
09,08,39,41.525,16,6.75,7.75,8.06,2.91,071,4456
09,08,40,30.153,20,-5.08,-5.80,-5.94,3.44,069,4138
09,08,43,52.331,31,1.55,1.49,1.41,0.56,075,1693
